gross_annual,net_annual_italy,net_annual_finland,net_annual_fi_ppp_adj,net_monthly_italy,net_monthly_finland,net_monthly_fi_ppp_adj,eff_rate_italy_pct,eff_rate_finland_pct
114000.0,66368.34,64081.57,52482.86,5530.7,5340.13,4373.57,41.78,43.79
114500.0,66627.15,64296.1,52658.56,5552.26,5358.01,4388.21,41.81,43.85
115000.0,66885.96,64510.64,52834.27,5573.83,5375.89,4402.86,41.84,43.9
115500.0,67144.76,64725.18,53009.98,5595.4,5393.76,4417.5,41.87,43.96
116000.0,67403.57,64939.71,53185.68,5616.96,5411.64,4432.14,41.89,44.02
116500.0,67662.38,65154.25,53361.38,5638.53,5429.52,4446.78,41.92,44.07
117000.0,67921.19,65368.78,53537.08,5660.1,5447.4,4461.42,41.95,44.13
117500.0,68180.0,65583.32,53712.79,5681.67,5465.28,4476.07,41.97,44.18
118000.0,68438.81,65797.86,53888.5,5703.23,5483.16,4490.71,42.0,44.24
118500.0,68697.61,66012.39,54064.2,5724.8,5501.03,4505.35,42.03,44.29
119000.0,68956.42,66226.93,54239.91,5746.37,5518.91,4519.99,42.05,44.35
119500.0,69215.23,66441.46,54415.61,5767.94,5536.79,4534.63,42.08,44.4
120000.0,69474.04,66656.0,54591.32,5789.5,5554.67,4549.28,42.1,44.45
120500.0,69732.85,66870.54,54767.03,5811.07,5572.54,4563.92,42.13,44.51
121000.0,69991.66,67085.07,54942.73,5832.64,5590.42,4578.56,42.16,44.56
121500.0,70250.47,67299.61,55118.44,5854.21,5608.3,4593.2,42.18,44.61
122000.0,70509.27,67514.14,55294.14,5875.77,5626.18,4607.84,42.21,44.66
122500.0,70768.08,67728.68,55469.84,5897.34,5644.06,4622.49,42.23,44.71
123000.0,71026.89,67943.22,55645.55,5918.91,5661.94,4637.13,42.25,44.76
123500.0,71285.7,68157.75,55821.25,5940.48,5679.81,4651.77,42.28,44.81
124000.0,71544.51,68372.29,55996.96,5962.04,5697.69,4666.41,42.3,44.86
124500.0,71803.32,68586.82,56172.66,5983.61,5715.57,4681.06,42.33,44.91
125000.0,72062.12,68801.36,56348.37,6005.18,5733.45,4695.7,42.35,44.96
125500.0,72320.93,69015.9,56524.08,6026.74,5751.32,4710.34,42.37,45.01
126000.0,72579.74,69230.43,56699.78,6048.31,5769.2,4724.98,42.4,45.06
126500.0,72838.55,69444.97,56875.49,6069.88,5787.08,4739.62,42.42,45.1
127000.0,73097.36,69659.5,57051.19,6091.45,5804.96,4754.27,42.44,45.15
127500.0,73356.17,69874.04,57226.9,6113.01,5822.84,4768.91,42.47,45.2
128000.0,73614.98,70088.58,57402.6,6134.58,5840.72,4783.55,42.49,45.24
128500.0,73873.78,70303.11,57578.3,6156.15,5858.59,4798.19,42.51,45.29
129000.0,74132.59,70517.65,57754.01,6177.72,5876.47,4812.83,42.53,45.34
129500.0,74391.4,70732.18,57929.71,6199.28,5894.35,4827.48,42.55,45.38
130000.0,74650.21,70946.72,58105.42,6220.85,5912.23,4842.12,42.58,45.43
130500.0,74909.02,71161.26,58281.13,6242.42,5930.1,4856.76,42.6,45.47
131000.0,75167.83,71375.79,58456.83,6263.99,5947.98,4871.4,42.62,45.51
131500.0,75426.64,71590.33,58632.54,6285.55,5965.86,4886.04,42.64,45.56
132000.0,75685.44,71804.86,58808.24,6307.12,5983.74,4900.69,42.66,45.6
132500.0,75944.25,72019.4,58983.95,6328.69,6001.62,4915.33,42.68,45.65
133000.0,76203.06,72233.94,59159.66,6350.26,6019.5,4929.97,42.7,45.69
133500.0,76461.87,72448.47,59335.36,6371.82,6037.37,4944.61,42.73,45.73
134000.0,76720.68,72663.01,59511.06,6393.39,6055.25,4959.26,42.75,45.77
134500.0,76979.49,72877.54,59686.76,6414.96,6073.13,4973.9,42.77,45.82
135000.0,77238.3,73092.08,59862.47,6436.52,6091.01,4988.54,42.79,45.86
135500.0,77497.1,73306.62,60038.18,6458.09,6108.88,5003.18,42.81,45.9
136000.0,77755.91,73521.15,60213.88,6479.66,6126.76,5017.82,42.83,45.94
136500.0,78014.72,73735.69,60389.59,6501.23,6144.64,5032.47,42.85,45.98
137000.0,78273.53,73950.22,60565.29,6522.79,6162.52,5047.11,42.87,46.02
137500.0,78532.34,74164.76,60741.0,6544.36,6180.4,5061.75,42.89,46.06
138000.0,78791.15,74379.3,60916.71,6565.93,6198.28,5076.39,42.9,46.1
138500.0,79049.95,74593.83,61092.41,6587.5,6216.15,5091.03,42.92,46.14
139000.0,79308.76,74808.37,61268.12,6609.06,6234.03,5105.68,42.94,46.18
139500.0,79567.57,75022.9,61443.82,6630.63,6251.91,5120.32,42.96,46.22
140000.0,79826.38,75237.44,61619.52,6652.2,6269.79,5134.96,42.98,46.26
140500.0,80085.19,75451.98,61795.23,6673.77,6287.66,5149.6,43.0,46.3
141000.0,80344.0,75666.51,61970.93,6695.33,6305.54,5164.24,43.02,46.34
141500.0,80602.81,75881.05,62146.64,6716.9,6323.42,5178.89,43.04,46.37
142000.0,80861.61,76095.58,62322.34,6738.47,6341.3,5193.53,43.06,46.41
142500.0,81120.42,76310.12,62498.05,6760.04,6359.18,5208.17,43.07,46.45
143000.0,81379.23,76524.66,62673.76,6781.6,6377.06,5222.81,43.09,46.49
143500.0,81638.04,76739.19,62849.46,6803.17,6394.93,5237.46,43.11,46.52
144000.0,81896.85,76953.73,63025.17,6824.74,6412.81,5252.1,43.13,46.56
144500.0,82155.66,77168.26,63200.87,6846.3,6430.69,5266.74,43.14,46.6
145000.0,82414.46,77382.8,63376.58,6867.87,6448.57,5281.38,43.16,46.63
145500.0,82673.27,77597.34,63552.29,6889.44,6466.44,5296.02,43.18,46.67
146000.0,82932.08,77811.87,63727.99,6911.01,6484.32,5310.67,43.2,46.7
146500.0,83190.89,78026.41,63903.69,6932.57,6502.2,5325.31,43.21,46.74
147000.0,83449.7,78240.94,64079.39,6954.14,6520.08,5339.95,43.23,46.77
147500.0,83708.51,78455.48,64255.1,6975.71,6537.96,5354.59,43.25,46.81
148000.0,83967.32,78670.02,64430.81,6997.28,6555.84,5369.23,43.27,46.84
148500.0,84226.12,78884.55,64606.51,7018.84,6573.71,5383.88,43.28,46.88
149000.0,84484.93,79099.09,64782.22,7040.41,6591.59,5398.52,43.3,46.91
149500.0,84743.74,79313.62,64957.92,7061.98,6609.47,5413.16,43.32,46.95
150000.0,85002.55,79528.16,65133.63,7083.55,6627.35,5427.8,43.33,46.98
