Vuosi,Sektoriluokitus 2023,Ammattiluokitus 2010,Sukupuoli,Tiedot,Vuosi_label,Sektoriluokitus 2023_label,Ammattiluokitus 2010_label,Sukupuoli_label,Tiedot_label,value
2024,S0,9,SSS,koko_psaaja_kans_med,2024*,S0 Total,9 Elementary occupations,Total,"Median for total earnings of full-time wage and salary earners, EUR per month",2549
2024,S0,9,SSS,koko_psaaja_kans_p90,2024*,S0 Total,9 Elementary occupations,Total,"9th decile of total earnings of full-time wage and salary earners, EUR per month",3653
2024,S0,9,SSS,koko_psaaja_sans_ka,2024*,S0 Total,9 Elementary occupations,Total,"Average for earnings for regular working hours of full-time wage and salary earners, EUR per month",2648
2024,S0,9,SSS,koko_psaaja_sans_p10,2024*,S0 Total,9 Elementary occupations,Total,"1st decile of earnings for regular working hours of full-time wage and salary earners, EUR per month",2000
2024,S0,9,SSS,koko_psaaja_sans_med,2024*,S0 Total,9 Elementary occupations,Total,"Median for earnings for regular working hours of full-time wage and salary earners, EUR per month",2514
2024,S0,9,SSS,koko_psaaja_sans_p90,2024*,S0 Total,9 Elementary occupations,Total,"9th decile of earnings for regular working hours of full-time wage and salary earners, EUR per month",3460
2024,S0,X,SSS,koko_psaaja_lkm,2024*,S0 Total,X Unknown,Total,Number of full-time wage and salary earners,5003
2024,S0,X,SSS,koko_psaaja_kans_ka,2024*,S0 Total,X Unknown,Total,"Average for total earnings of full-time wage and salary earners, EUR per month",6784
2024,S0,X,SSS,koko_psaaja_kans_p10,2024*,S0 Total,X Unknown,Total,"1st decile of total earnings of full-time wage and salary earners, EUR per month",2026
2024,S0,X,SSS,koko_psaaja_kans_med,2024*,S0 Total,X Unknown,Total,"Median for total earnings of full-time wage and salary earners, EUR per month",5020
2024,S0,X,SSS,koko_psaaja_kans_p90,2024*,S0 Total,X Unknown,Total,"9th decile of total earnings of full-time wage and salary earners, EUR per month",13504
2024,S0,X,SSS,koko_psaaja_sans_ka,2024*,S0 Total,X Unknown,Total,"Average for earnings for regular working hours of full-time wage and salary earners, EUR per month",6721
2024,S0,X,SSS,koko_psaaja_sans_p10,2024*,S0 Total,X Unknown,Total,"1st decile of earnings for regular working hours of full-time wage and salary earners, EUR per month",2007
2024,S0,X,SSS,koko_psaaja_sans_med,2024*,S0 Total,X Unknown,Total,"Median for earnings for regular working hours of full-time wage and salary earners, EUR per month",5016
2024,S0,X,SSS,koko_psaaja_sans_p90,2024*,S0 Total,X Unknown,Total,"9th decile of earnings for regular working hours of full-time wage and salary earners, EUR per month",13333
