dataset,time,obs_value,freq,nace_r2,age,sex,unit,geo
lfst_r_lfe2en2,2008,253.6,A,G-I,Y_GE15,F,THS_PER,FI
lfst_r_lfe2en2,2008,87.8,A,G-I,Y_GE15,F,THS_PER,FI1B
lfst_r_lfe2en2,2008,2200.1,A,G-I,Y_GE15,F,THS_PER,IT
lfst_r_lfe2en2,2008,213.5,A,G-I,Y_GE15,F,THS_PER,ITH3
lfst_r_lfe2en2,2008,298.1,A,G-I,Y_GE15,M,THS_PER,FI
lfst_r_lfe2en2,2008,110.9,A,G-I,Y_GE15,M,THS_PER,FI1B
lfst_r_lfe2en2,2008,3476.3,A,G-I,Y_GE15,M,THS_PER,IT
lfst_r_lfe2en2,2008,282.3,A,G-I,Y_GE15,M,THS_PER,ITH3
lfst_r_lfe2en2,2008,551.7,A,G-I,Y_GE15,T,THS_PER,FI
lfst_r_lfe2en2,2008,198.8,A,G-I,Y_GE15,T,THS_PER,FI1B
lfst_r_lfe2en2,2008,5676.4,A,G-I,Y_GE15,T,THS_PER,IT
lfst_r_lfe2en2,2008,495.8,A,G-I,Y_GE15,T,THS_PER,ITH3
lfst_r_lfe2en2,2008,3.2,A,J,Y15-24,F,THS_PER,FI
lfst_r_lfe2en2,2008,8.7,A,J,Y15-24,F,THS_PER,IT
lfst_r_lfe2en2,2008,3.9,A,J,Y15-24,M,THS_PER,FI
lfst_r_lfe2en2,2008,17.0,A,J,Y15-24,M,THS_PER,IT
lfst_r_lfe2en2,2008,2.3,A,J,Y15-24,M,THS_PER,ITH3
lfst_r_lfe2en2,2008,7.2,A,J,Y15-24,T,THS_PER,FI
lfst_r_lfe2en2,2008,3.2,A,J,Y15-24,T,THS_PER,FI1B
lfst_r_lfe2en2,2008,25.8,A,J,Y15-24,T,THS_PER,IT
lfst_r_lfe2en2,2008,2.3,A,J,Y15-24,T,THS_PER,ITH3
lfst_r_lfe2en2,2008,34.2,A,J,Y15-64,F,THS_PER,FI
lfst_r_lfe2en2,2008,18.8,A,J,Y15-64,F,THS_PER,FI1B
lfst_r_lfe2en2,2008,171.6,A,J,Y15-64,F,THS_PER,IT
lfst_r_lfe2en2,2008,10.9,A,J,Y15-64,F,THS_PER,ITH3
lfst_r_lfe2en2,2008,60.4,A,J,Y15-64,M,THS_PER,FI
lfst_r_lfe2en2,2008,32.2,A,J,Y15-64,M,THS_PER,FI1B
lfst_r_lfe2en2,2008,365.3,A,J,Y15-64,M,THS_PER,IT
lfst_r_lfe2en2,2008,24.6,A,J,Y15-64,M,THS_PER,ITH3
lfst_r_lfe2en2,2008,94.6,A,J,Y15-64,T,THS_PER,FI
lfst_r_lfe2en2,2008,51.0,A,J,Y15-64,T,THS_PER,FI1B
lfst_r_lfe2en2,2008,536.9,A,J,Y15-64,T,THS_PER,IT
lfst_r_lfe2en2,2008,35.6,A,J,Y15-64,T,THS_PER,ITH3
lfst_r_lfe2en2,2008,34.4,A,J,Y15-74,F,THS_PER,FI
lfst_r_lfe2en2,2008,18.9,A,J,Y15-74,F,THS_PER,FI1B
lfst_r_lfe2en2,2008,172.5,A,J,Y15-74,F,THS_PER,IT
lfst_r_lfe2en2,2008,11.2,A,J,Y15-74,F,THS_PER,ITH3
lfst_r_lfe2en2,2008,60.4,A,J,Y15-74,M,THS_PER,FI
lfst_r_lfe2en2,2008,32.2,A,J,Y15-74,M,THS_PER,FI1B
lfst_r_lfe2en2,2008,368.4,A,J,Y15-74,M,THS_PER,IT
lfst_r_lfe2en2,2008,24.6,A,J,Y15-74,M,THS_PER,ITH3
lfst_r_lfe2en2,2008,94.8,A,J,Y15-74,T,THS_PER,FI
lfst_r_lfe2en2,2008,51.2,A,J,Y15-74,T,THS_PER,FI1B
lfst_r_lfe2en2,2008,540.9,A,J,Y15-74,T,THS_PER,IT
lfst_r_lfe2en2,2008,35.8,A,J,Y15-74,T,THS_PER,ITH3
lfst_r_lfe2en2,2008,30.9,A,J,Y25-64,F,THS_PER,FI
lfst_r_lfe2en2,2008,17.3,A,J,Y25-64,F,THS_PER,FI1B
lfst_r_lfe2en2,2008,162.9,A,J,Y25-64,F,THS_PER,IT
lfst_r_lfe2en2,2008,10.9,A,J,Y25-64,F,THS_PER,ITH3
lfst_r_lfe2en2,2008,56.5,A,J,Y25-64,M,THS_PER,FI
lfst_r_lfe2en2,2008,30.5,A,J,Y25-64,M,THS_PER,FI1B
lfst_r_lfe2en2,2008,348.3,A,J,Y25-64,M,THS_PER,IT
lfst_r_lfe2en2,2008,22.3,A,J,Y25-64,M,THS_PER,ITH3
lfst_r_lfe2en2,2008,87.4,A,J,Y25-64,T,THS_PER,FI
lfst_r_lfe2en2,2008,47.8,A,J,Y25-64,T,THS_PER,FI1B
lfst_r_lfe2en2,2008,511.1,A,J,Y25-64,T,THS_PER,IT
lfst_r_lfe2en2,2008,33.2,A,J,Y25-64,T,THS_PER,ITH3
lfst_r_lfe2en2,2008,3.1,A,J,Y65-74,M,THS_PER,IT
lfst_r_lfe2en2,2008,4.0,A,J,Y65-74,T,THS_PER,IT
lfst_r_lfe2en2,2008,34.4,A,J,Y_GE15,F,THS_PER,FI
lfst_r_lfe2en2,2008,18.9,A,J,Y_GE15,F,THS_PER,FI1B
lfst_r_lfe2en2,2008,172.7,A,J,Y_GE15,F,THS_PER,IT
lfst_r_lfe2en2,2008,11.2,A,J,Y_GE15,F,THS_PER,ITH3
lfst_r_lfe2en2,2008,60.4,A,J,Y_GE15,M,THS_PER,FI
lfst_r_lfe2en2,2008,32.2,A,J,Y_GE15,M,THS_PER,FI1B
lfst_r_lfe2en2,2008,368.8,A,J,Y_GE15,M,THS_PER,IT
lfst_r_lfe2en2,2008,24.6,A,J,Y_GE15,M,THS_PER,ITH3
lfst_r_lfe2en2,2008,94.8,A,J,Y_GE15,T,THS_PER,FI
lfst_r_lfe2en2,2008,51.2,A,J,Y_GE15,T,THS_PER,FI1B
lfst_r_lfe2en2,2008,541.5,A,J,Y_GE15,T,THS_PER,IT
lfst_r_lfe2en2,2008,35.8,A,J,Y_GE15,T,THS_PER,ITH3
lfst_r_lfe2en2,2008,2.8,A,K,Y15-24,F,THS_PER,FI
lfst_r_lfe2en2,2008,12.1,A,K,Y15-24,F,THS_PER,IT
